Antigen;Country;Age_group;Sex;GMC;lower;upper;p_value_Age_group;p_value_Sex
PT;FI;Total;Females;6.658960991284249;5.599012915888356;7.919567636219662;0.38750447542433353;
PT;FI;Total;Total;7.715421147339863;6.786866342638964;8.77101750285431;0.5443163772236971;0.014113287096761714
PT;FR;40-49;Males;12.7349530782401;10.089783716530118;16.073588340578468;;
PT;FR;40-49;Females;13.072859356796826;10.36555861590581;16.48725921055013;;
PT;FR;40-49;Total;12.90336516025161;10.934637628589513;15.22655236635143;;0.8759069863906923
PT;FR;50-59;Males;17.6514330448954;13.985064618268757;22.278988123616948;;
PT;FR;50-59;Females;11.075535646602814;8.775042870781105;13.97913282767249;;
PT;FR;50-59;Total;13.982098408406518;11.84549537858349;16.50408612339033;;0.00553642936785431
PT;FR;Total;Males;14.993004088255374;12.712127738547487;17.683127184822272;0.05198029645862552;
PT;FR;Total;Females;12.036163405052493;10.207928385641758;14.19183442909872;0.3228351713334311;
PT;FR;Total;Total;13.431003655472878;11.943807646381016;15.10337946944287;0.501820748757968;0.06484220633319687
PT;GR;40-49;Males;;;;;
PT;GR;40-49;Females;;;;;
PT;GR;40-49;Total;8.010185120163115;6.683638757712913;9.600019986902858;;
PT;GR;50-59;Males;;;;;
PT;GR;50-59;Females;;;;;
PT;GR;50-59;Total;7.583239211248431;6.327398273696353;9.088335275822937;;
PT;GR;Total;Males;;;;;
PT;GR;Total;Females;;;;;
PT;GR;Total;Total;7.793030061490376;6.856012770808927;8.858110328771621;0.6749861362791532;
PT;HU;40-49;Males;9.490203550996428;7.382105974395877;12.200307575063725;;
PT;HU;40-49;Females;5.932155637480186;4.6321536739225655;7.596999794155842;;
PT;HU;40-49;Total;7.4760864862519965;6.2599615544169716;8.928468436117297;;0.009001656029647417
PT;HU;50-59;Males;9.573470238253812;7.509628070569977;12.20451020229757;;
PT;HU;50-59;Females;6.931010514746568;5.431985689287971;8.84371010959428;;
PT;HU;50-59;Total;8.15060571259419;6.854020546398669;9.692467805203592;;0.06573914866970743
PT;HU;Total;Males;9.53316003372287;8.002669313645333;11.356353319961606;0.9609093664615065;
PT;HU;Total;Females;6.419613853625304;5.394279867395622;7.639841284237066;0.3797112302433864;
PT;HU;Total;Total;7.814291495295022;6.90161626755716;8.847659621483638;0.4948820400476993;0.0016908266805596302
PT;IE;40-49;Males;12.173351951224756;9.440903211694964;15.696644103375181;;
PT;IE;40-49;Females;9.349401652599408;7.250821009949677;12.055367404833403;;
PT;IE;40-49;Total;10.66834367886848;8.901586445636969;12.785761004010437;;0.15013005804187643
PT;IE;50-59;Males;12.49778426160663;9.682603246767595;16.131468724777694;;
PT;IE;50-59;Females;11.803932915291092;9.145044975798918;15.235882670606577;;
PT;IE;50-59;Total;12.159019903717185;10.14171151328023;14.577595194400558;;0.7564103968692207
PT;IE;Total;Males;12.33385003197532;10.296576106390132;14.774217666088866;0.8861895965605336;
PT;IE;Total;Females;10.50030649833618;8.76589262235632;12.577890388231046;0.20461542981627914;
PT;IE;Total;Total;11.387827194043533;10.016010096895533;12.947531696437945;0.3171969423938532;0.21661726743488613
PT;LV;40-49;Males;7.746105068542619;6.048585243640256;9.920029447545685;;
PT;LV;40-49;Females;6.268863525062652;4.825750660173301;8.143530957824012;;
PT;LV;40-49;Total;7.009856818399496;5.848972278997583;8.401149855147432;;0.24936232067465527
PT;LV;50-59;Males;9.564787433072997;7.410276887129516;12.34571393665012;;
PT;LV;50-59;Females;12.748885616306495;9.897250127745314;16.422145783911134;;
